Carbon chain length,Additional input,Soil  organic matter,Soil pH,Cation exchange capacity,Exposure time,Initial concentration in soil,ECFP_7,ECFP_20,ECFP_125,ECFP_239,ECFP_279,ECFP_281,ECFP_347,ECFP_559,ECFP_716,ECFP_780,ECFP_789,ECFP_803,ECFP_808,ECFP_863,ECFP_865,ECFP_870,ECFP_898,ECFP_911,ECFP_917,ECFP_925,ECFP_926,ECFP_969,ECFP_983,ECFP_994,ECFP_996,ECFP_1016,ECFP_1021,ECFP_1022,Cultivatin condition,Casparian strip,Plant species_Alfalfa (Medicago sativa L.),Plant species_Carrot (Daucus carota L.),Plant species_Celery (Apium graveolens L.),Plant species_Italian ryegrass (Lolium multiflorum Lam.),Plant species_Lettuce (Lactuca sativa L.),Plant species_Maize (Zea mays L.),Plant species_Mung bean (Vigna radiata L. Wilczek),Plant species_Pea (Pisum sativum),Plant species_Radish (Rapahnus sativus L.),Plant species_Red chicory(Cichorium inybus L.),Plant species_Soybean (Glycine max L. Merrill),Plant species_Sugar snap pea (Pisum sativum),Plant species_Tomato (Solanum lycopersicum),Plant species_Wheat (Triticum aestivum L.),Plant categories_Cereal,Plant categories_Fruit,Plant categories_Leaf,Plant categories_Legume,Plant categories_Root,Compounds_4:2 FTS,Compounds_6:2 FTS,Compounds_8:2 FTS,Compounds_GenX,Compounds_N-EtFOSAA,Compounds_PFBA/PFBuA,Compounds_PFBS,Compounds_PFDA,Compounds_PFDoDA/PFDoA,Compounds_PFHpA,Compounds_PFHxA,Compounds_PFHxS,Compounds_PFMOAA,Compounds_PFNA,Compounds_PFOA,Compounds_PFOS,Compounds_PFOSA,Compounds_PFPeA,Compounds_PFTeDA/PFTeA,Compounds_PFTrDA,Compounds_PFUnA/PFUnDA,Functional groups_#NAME?,Functional groups_Caboxylate,Functional groups_Sulfonamide,Functional groups_Sulfonate,Plant tissues_Cobs,Plant tissues_Fruit,Plant tissues_Grain,Plant tissues_Hull-Leaves,Plant tissues_Husk,Plant tissues_Leaves,Plant tissues_Peas,Plant tissues_Pods,Plant tissues_Root,Plant tissues_Shoot,Plant tissues_Stem,Log BCF
6,0,2.46,7.8,83.932233,87,138.9,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1.293921
7,0,2.46,7.8,84.356918,87,188.36,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.924846
8,0,2.46,7.8,84.149661,87,153.72,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.759967
9,0,2.46,7.8,84.183529,87,157.95,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.719086
4,0,2.46,7.8,83.337868,87,184.28,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1.992041
8,0,2.46,7.8,84.325018,87,179.93,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.788164
3,13.226,2.46,7.8,82.564699,87,86.06,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2.348578
4,13.542,2.46,7.8,83.220284,87,82.43,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1.977793
5,14.572,2.46,7.8,83.439727,87,75.7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1.647754
6,16.974,2.46,7.8,83.58715,87,78.03,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1.18124
7,12.862,2.46,7.8,83.692842,87,87.5,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.804494
8,13.342,2.46,7.8,83.694618,87,83.11,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,-1.779774
9,13.984,2.46,7.8,83.659473,87,83.7,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.895784
4,11.61,2.46,7.8,83.196653,87,64.43,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1.973826
8,13.14,2.46,7.8,83.631612,87,74.35,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,-1.825958
3,130.584,2.46,7.8,82.515416,87,128.92,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2.290546
4,134.896,2.46,7.8,83.188882,87,108.79,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2.024836
5,142.018,2.46,7.8,83.645998,87,113.43,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1.59373
